Class;Method1;Method2;Type;Param1;Param2;Cloned text;Legit?
org.joda.time.format.StrictISODateTimeFormat;DateTimeFormatter date();DateTimeFormatter yearMonthDay();@return;;;a formatter for yyyy-MM-dd;false
org.joda.time.format.StrictISODateTimeFormat;DateTimeFormatter weekDate();DateTimeFormatter weekyearWeekDay();@return;;;a formatter for xxxx-'W'ww-e;false
org.joda.time.format.StrictISODateTimeFormat;DateTimeFormatter hourMinuteSecondMillis();DateTimeFormatter hourMinuteSecondFraction();@return;;;a formatter for HH:mm:ss.SSS;false
org.joda.time.format.StrictISODateTimeFormat;DateTimeFormatter dateHourMinuteSecondMillis();DateTimeFormatter dateHourMinuteSecondFraction();@return;;;a formatter for yyyy-MM-dd'T'HH:mm:ss.SSS;false
org.elasticsearch.cluster.ClusterStateObserver; ClusterStateObserver(ClusterService clusterService, TimeValue timeout, Logger logger, ThreadContext contextHolder); ClusterStateObserver(ClusterState initialState, ClusterService clusterService, TimeValue timeout, Logger logger, ThreadContext contextHolder);Whole;;; @param a global timeout for this observer. After it has expired the observer will fail any existing or new #waitForNextChange calls. Set to null to wait indefinitely  ;false
org.elasticsearch.cluster.health.ClusterStateHealth; ClusterStateHealth(ClusterState clusterState); ClusterStateHealth(ClusterState clusterState, String[] concreteIndices);@param;ClusterState clusterState;ClusterState clusterState;The current cluster state. Must not be null.;true
org.elasticsearch.cluster.ClusterStateTaskConfig;ClusterStateTaskConfig build(Priority priority);ClusterStateTaskConfig build(Priority priority, TimeValue timeout);@param;Priority priority;Priority priority;the priority for the associated cluster state update task;true
org.elasticsearch.cluster.DiffableUtils;MapDiff readImmutableOpenMapDiff(StreamInput in, KeySerializer keySerializer, ValueSerializer valueSerializer);MapDiff readImmutableOpenIntMapDiff(StreamInput in, KeySerializer keySerializer, ValueSerializer valueSerializer);Whole;;;Loads an object that represents difference between two ImmutableOpenMaps    ;false
org.elasticsearch.cluster.action.shard.ShardStateAction;void localShardFailed(ShardRouting shardRouting, String message, Exception failure, Listener listener);void localShardFailed(ShardRouting shardRouting, String message, Exception failure, Listener listener, ClusterState currentState);Whole;;;Send a shard failed request to the master node to update the cluster state when a shard on the local node failed.    ;false
org.elasticsearch.cluster.routing.UnassignedInfo; UnassignedInfo(Reason reason, String message); UnassignedInfo(Reason reason, String message, Exception failure, int failedAllocations, long unassignedTimeNanos, long unassignedTimeMillis, boolean delayed, AllocationStatus lastAllocationStatus);@param;Reason reason;Reason reason;the cause for making this shard unassigned. See Reason for more information.;true
org.elasticsearch.cluster.routing.UnassignedInfo; UnassignedInfo(Reason reason, String message); UnassignedInfo(Reason reason, String message, Exception failure, int failedAllocations, long unassignedTimeNanos, long unassignedTimeMillis, boolean delayed, AllocationStatus lastAllocationStatus);@param;String message;String message;more information about cause.;true
org.elasticsearch.cluster.routing.RoutingTable;IndexShardRoutingTable shardRoutingTable(String index, int shardId);IndexShardRoutingTable shardRoutingTable(ShardId shardId);@return;;;All the shard routing entries for the given index and shard id;true
org.elasticsearch.cluster.routing.RoutingTable;IndexShardRoutingTable shardRoutingTable(String index, int shardId);IndexShardRoutingTable shardRoutingTable(ShardId shardId);@throws;;;if provided index does not exist;true
org.elasticsearch.cluster.routing.RoutingTable;IndexShardRoutingTable shardRoutingTable(String index, int shardId);IndexShardRoutingTable shardRoutingTable(ShardId shardId);@throws;;;if provided shard id is unknown;true
org.elasticsearch.cluster.routing.RoutingTable;GroupShardsIterator allActiveShardsGrouped(String[] indices, boolean includeEmpty, boolean includeRelocationTargets);GroupShardsIterator allAssignedShardsGrouped(String[] indices, boolean includeEmpty, boolean includeRelocationTargets);@param;boolean includeEmpty;boolean includeEmpty;if true, a shard iterator will be added for non-assigned shards as well;true
org.elasticsearch.cluster.routing.RoutingTable;GroupShardsIterator allActiveShardsGrouped(String[] indices, boolean includeEmpty, boolean includeRelocationTargets);GroupShardsIterator allAssignedShardsGrouped(String[] indices, boolean includeEmpty, boolean includeRelocationTargets);@param;boolean includeRelocationTargets;boolean includeRelocationTargets;if true, an extra shard iterator will be added for relocating shards. The extra iterator contains a single ShardRouting pointing at the relocating target;true
org.elasticsearch.cluster.routing.IndexShardRoutingTable;ShardId shardId();ShardId getShardId();Whole;;;Returns the shards id   @return id of the shard ;false
org.elasticsearch.cluster.routing.IndexShardRoutingTable;int size();int getSize();Whole;;;Returns the number of this shards instances.    ;false
org.elasticsearch.cluster.routing.IndexShardRoutingTable;List shards();List getShards();Whole;;;Returns a {@link List} of shards   @return a List of shards ;false
org.elasticsearch.cluster.routing.IndexShardRoutingTable;List shards();List activeShards();@return;;;a List of shards;false
org.elasticsearch.cluster.routing.IndexShardRoutingTable;List shards();List getAllInitializingShards();@return;;;a List of shards;false
org.elasticsearch.cluster.routing.IndexShardRoutingTable;List shards();List getActiveShards();@return;;;a List of shards;false
org.elasticsearch.cluster.routing.IndexShardRoutingTable;List shards();List assignedShards();@return;;;a List of shards;false
org.elasticsearch.cluster.routing.IndexShardRoutingTable;List shards();List getAssignedShards();@return;;;a List of shards;false
org.elasticsearch.cluster.routing.IndexShardRoutingTable;List getShards();List activeShards();@return;;;a List of shards;false
org.elasticsearch.cluster.routing.IndexShardRoutingTable;List getShards();List getAllInitializingShards();@return;;;a List of shards;false
org.elasticsearch.cluster.routing.IndexShardRoutingTable;List getShards();List getActiveShards();@return;;;a List of shards;false
org.elasticsearch.cluster.routing.IndexShardRoutingTable;List getShards();List assignedShards();@return;;;a List of shards;false
org.elasticsearch.cluster.routing.IndexShardRoutingTable;List getShards();List getAssignedShards();@return;;;a List of shards;false
org.elasticsearch.cluster.routing.IndexShardRoutingTable;List activeShards();List getAllInitializingShards();@return;;;a List of shards;false
org.elasticsearch.cluster.routing.IndexShardRoutingTable;List activeShards();List getActiveShards();Whole;;;Returns a {@link List} of active shards   @return a List of shards ;false
org.elasticsearch.cluster.routing.IndexShardRoutingTable;List activeShards();List assignedShards();@return;;;a List of shards;false
org.elasticsearch.cluster.routing.IndexShardRoutingTable;List activeShards();List getAssignedShards();@return;;;a List of shards;false
org.elasticsearch.cluster.routing.IndexShardRoutingTable;List getAllInitializingShards();List getActiveShards();@return;;;a List of shards;false
org.elasticsearch.cluster.routing.IndexShardRoutingTable;List getAllInitializingShards();List assignedShards();@return;;;a List of shards;false
org.elasticsearch.cluster.routing.IndexShardRoutingTable;List getAllInitializingShards();List getAssignedShards();@return;;;a List of shards;false
org.elasticsearch.cluster.routing.IndexShardRoutingTable;List getActiveShards();List assignedShards();@return;;;a List of shards;false
org.elasticsearch.cluster.routing.IndexShardRoutingTable;List getActiveShards();List getAssignedShards();@return;;;a List of shards;false
org.elasticsearch.cluster.routing.IndexShardRoutingTable;List assignedShards();List getAssignedShards();Whole;;;Returns a {@link List} of assigned shards   @return a List of shards ;false
org.elasticsearch.cluster.routing.IndexShardRoutingTable;ShardIterator activeInitializingShardsRandomIt();ShardIterator activeInitializingShardsIt(int seed);Whole;;;Returns an iterator over active and initializing shards. Making sure though that its random within the active shards, and initializing shards are the last to iterate through.    ;false
org.elasticsearch.cluster.routing.RecoverySource;void addAdditionalFields(XContentBuilder builder, ToXContent.Params params);void writeAdditionalFields(StreamOutput out);Whole;;;to be overridden by subclasses    ;false
org.elasticsearch.cluster.routing.RoutingNode;List shardsWithState(ShardRoutingState states);List shardsWithState(String index, ShardRoutingState states);@param;ShardRoutingState states;ShardRoutingState states;set of states which should be listed;true
org.elasticsearch.cluster.routing.ShardRouting;int id();int getId();Whole;;;The shard id.    ;false
org.elasticsearch.cluster.routing.ShardRouting;int id();ShardId shardId();Whole;;;The shard id.    ;false
org.elasticsearch.cluster.routing.ShardRouting;int getId();ShardId shardId();Whole;;;The shard id.    ;false
org.elasticsearch.cluster.routing.allocation.AllocationService;ClusterState reroute(ClusterState clusterState, String reason);ClusterState reroute(ClusterState clusterState, String reason, boolean debug);Whole;;;Reroutes the routing table based on the live nodes. <p> If the same instance of ClusterState is returned, then no change has been made.    ;false
org.elasticsearch.cluster.routing.allocation.decider.AllocationDecider;Decision canAllocate(ShardRouting shardRouting, RoutingAllocation allocation);Decision canAllocate(IndexMetaData indexMetaData, RoutingNode node, RoutingAllocation allocation);Whole;;;Returns a {@link Decision} whether the given shard routing can be allocated at all at this state of the {@link RoutingAllocation}. The default is {@link Decision#ALWAYS}.    ;false
org.elasticsearch.cluster.routing.allocation.command.AllocationCommands;AllocationCommands readFrom(StreamInput in);AllocationCommands fromXContent(XContentParser parser);@return;;;AllocationCommands read;false
org.elasticsearch.cluster.routing.allocation.command.AbstractAllocateAllocationCommand;void initializeUnassignedShard(RoutingAllocation allocation, RoutingNodes routingNodes, RoutingNode routingNode, ShardRouting shardRouting);void initializeUnassignedShard(RoutingAllocation allocation, RoutingNodes routingNodes, RoutingNode routingNode, ShardRouting shardRouting, UnassignedInfo unassignedInfo, RecoverySource recoverySource);Free text;;;Initializes an unassigned shard on a node and removes it from the unassigned ;true
org.elasticsearch.cluster.routing.allocation.command.AbstractAllocateAllocationCommand;void initializeUnassignedShard(RoutingAllocation allocation, RoutingNodes routingNodes, RoutingNode routingNode, ShardRouting shardRouting);void initializeUnassignedShard(RoutingAllocation allocation, RoutingNodes routingNodes, RoutingNode routingNode, ShardRouting shardRouting, UnassignedInfo unassignedInfo, RecoverySource recoverySource);@param;RoutingAllocation allocation;RoutingAllocation allocation;the allocation;true
