Class;Method1;Method2;Type;Param1;Param2;Cloned text;Legit?
com.google.common.escape.CharEscaper;String escape(String string);String escapeSlow(String s, int index);@return;;;the escaped form of string;false
com.google.common.escape.CharEscaper;String escape(String string);String escapeSlow(String s, int index);@param;String string;String s;the literal string to be escaped;false
com.google.common.escape.CharEscaper;String escape(String string);String escapeSlow(String s, int index);@throws;;;if string is null;true
com.google.common.escape.ArrayBasedUnicodeEscaper; ArrayBasedUnicodeEscaper(Map replacementMap, int safeMin, int safeMax, String unsafeReplacement); ArrayBasedUnicodeEscaper(ArrayBasedEscaperMap escaperMap, int safeMin, int safeMax, String unsafeReplacement);@param;int safeMin;int safeMin;the lowest character value in the safe range;true
com.google.common.escape.ArrayBasedUnicodeEscaper; ArrayBasedUnicodeEscaper(Map replacementMap, int safeMin, int safeMax, String unsafeReplacement); ArrayBasedUnicodeEscaper(ArrayBasedEscaperMap escaperMap, int safeMin, int safeMax, String unsafeReplacement);@param;int safeMax;int safeMax;the highest character value in the safe range;true
com.google.common.escape.ArrayBasedUnicodeEscaper; ArrayBasedUnicodeEscaper(Map replacementMap, int safeMin, int safeMax, String unsafeReplacement); ArrayBasedUnicodeEscaper(ArrayBasedEscaperMap escaperMap, int safeMin, int safeMax, String unsafeReplacement);@param;String unsafeReplacement;String unsafeReplacement;the default replacement for unsafe characters or null if no default replacement is required;true
com.google.common.escape.Escapers;String computeReplacement(CharEscaper escaper, char c);String computeReplacement(UnicodeEscaper escaper, int cp);@return;;;the replacement string, or null if no escaping was needed;true
com.google.common.escape.UnicodeEscaper;String escape(String string);String escapeSlow(String s, int index);@return;;;the escaped form of string;false
com.google.common.escape.UnicodeEscaper;String escape(String string);String escapeSlow(String s, int index);@param;String string;String s;the literal string to be escaped;false
com.google.common.escape.UnicodeEscaper;String escape(String string);String escapeSlow(String s, int index);@throws;;;if string is null;true
com.google.common.escape.UnicodeEscaper;String escape(String string);String escapeSlow(String s, int index);@throws;;;if invalid surrogate characters are encountered;true
