Class;Method1;Method2;Type;Param1;Param2;Cloned text;Legit?
org.apache.hadoop.hdfs.tools.DelegationTokenFetcher;void cancelDelegationToken(URLConnectionFactory factory, URI nnAddr, Token tok);long renewDelegationToken(URLConnectionFactory factory, URI nnAddr, Token tok);@param;URI nnAddr;URI nnAddr;the NameNode's address;true
org.apache.hadoop.hdfs.tools.offlineImageViewer.WebImageViewer;void initServerAndWait(String fsimage);void initServer(String fsimage);@param;String fsimage;String fsimage;the fsimage to load.;true
org.apache.hadoop.hdfs.tools.offlineImageViewer.ImageVisitor;void visitEnclosingElement(ImageElement element);void visitEnclosingElement(ImageElement element, ImageElement key, String value);@param;ImageElement element;ImageElement element;Element being visited;true
org.apache.hadoop.hdfs.tools.offlineImageViewer.TextWriterImageVisitor; TextWriterImageVisitor(String filename); TextWriterImageVisitor(String filename, boolean printToScreen);@param;String filename;String filename;Name of file to write output to;true
org.apache.hadoop.hdfs.tools.offlineImageViewer.FSImageLoader;String getFileStatus(String path);String listStatus(String path);@throws;;;if failed to serialize fileStatus to JSON.;true
org.apache.hadoop.hdfs.tools.offlineImageViewer.FSImageLoader;String getFileStatus(String path);String getAclStatus(String path);@param;String path;String path;a path specifies a file;true
org.apache.hadoop.hdfs.tools.offlineImageViewer.FSImageLoader;String getFileStatus(String path);String getAclStatus(String path);@throws;;;if failed to serialize fileStatus to JSON.;true
org.apache.hadoop.hdfs.tools.offlineImageViewer.FSImageLoader;String listStatus(String path);String getAclStatus(String path);@throws;;;if failed to serialize fileStatus to JSON.;true
org.apache.hadoop.hdfs.tools.DFSAdmin; DFSAdmin(); DFSAdmin(Configuration conf);Whole;;;Construct a DFSAdmin object.    ;false
org.apache.hadoop.hdfs.tools.DFSAdmin;void report(String[] argv, int i);void setSafeMode(String[] argv, int idx);@throws;;;if the filesystem does not exist.;true
org.apache.hadoop.hdfs.tools.DFSAdmin;void report(String[] argv, int i);int run(String[] argv);@throws;;;if the filesystem does not exist.;false
org.apache.hadoop.hdfs.tools.DFSAdmin;void report(String[] argv, int i);void main(String[] argv);@throws;;;if the filesystem does not exist.;false
org.apache.hadoop.hdfs.tools.DFSAdmin;void setSafeMode(String[] argv, int idx);void allowSnapshot(String[] argv);@param;String[] argv;String[] argv;List of of command line parameters.;true
org.apache.hadoop.hdfs.tools.DFSAdmin;void setSafeMode(String[] argv, int idx);void disallowSnapshot(String[] argv);@param;String[] argv;String[] argv;List of of command line parameters.;true
org.apache.hadoop.hdfs.tools.DFSAdmin;void setSafeMode(String[] argv, int idx);int setBalancerBandwidth(String[] argv, int idx);@param;String[] argv;String[] argv;List of of command line parameters.;true
org.apache.hadoop.hdfs.tools.DFSAdmin;void setSafeMode(String[] argv, int idx);int setBalancerBandwidth(String[] argv, int idx);@param;int idx;int idx;The index of the command that is being processed.;true
org.apache.hadoop.hdfs.tools.DFSAdmin;void setSafeMode(String[] argv, int idx);int fetchImage(String[] argv, int idx);@param;String[] argv;String[] argv;List of of command line parameters.;true
org.apache.hadoop.hdfs.tools.DFSAdmin;void setSafeMode(String[] argv, int idx);int fetchImage(String[] argv, int idx);@param;int idx;int idx;The index of the command that is being processed.;true
org.apache.hadoop.hdfs.tools.DFSAdmin;void setSafeMode(String[] argv, int idx);int metaSave(String[] argv, int idx);@param;String[] argv;String[] argv;List of of command line parameters.;true
org.apache.hadoop.hdfs.tools.DFSAdmin;void setSafeMode(String[] argv, int idx);int metaSave(String[] argv, int idx);@param;int idx;int idx;The index of the command that is being processed.;true
org.apache.hadoop.hdfs.tools.DFSAdmin;void setSafeMode(String[] argv, int idx);int run(String[] argv);@throws;;;if the filesystem does not exist.;false
org.apache.hadoop.hdfs.tools.DFSAdmin;void setSafeMode(String[] argv, int idx);void main(String[] argv);@throws;;;if the filesystem does not exist.;false
org.apache.hadoop.hdfs.tools.DFSAdmin;void allowSnapshot(String[] argv);void disallowSnapshot(String[] argv);@param;String[] argv;String[] argv;List of of command line parameters.;true
org.apache.hadoop.hdfs.tools.DFSAdmin;void allowSnapshot(String[] argv);int setBalancerBandwidth(String[] argv, int idx);@param;String[] argv;String[] argv;List of of command line parameters.;true
