Class;Method1;Method2;Type;Param1;Param2;Cloned text;Legit?
org.apache.hadoop.metrics.MetricsRecord;void setTag(String tagName, String tagValue);void setTag(String tagName, int tagValue);@param;String tagName;String tagName;name of the tag;true
org.apache.hadoop.metrics.MetricsRecord;void setTag(String tagName, String tagValue);void setTag(String tagName, int tagValue);@param;String tagValue;int tagValue;new value of the tag;true
org.apache.hadoop.metrics.MetricsRecord;void setTag(String tagName, String tagValue);void setTag(String tagName, int tagValue);@throws;;;if the tagName conflicts with the configuration;true
org.apache.hadoop.metrics.MetricsRecord;void setTag(String tagName, String tagValue);void setTag(String tagName, long tagValue);@param;String tagName;String tagName;name of the tag;true
org.apache.hadoop.metrics.MetricsRecord;void setTag(String tagName, String tagValue);void setTag(String tagName, long tagValue);@param;String tagValue;long tagValue;new value of the tag;true
org.apache.hadoop.metrics.MetricsRecord;void setTag(String tagName, String tagValue);void setTag(String tagName, long tagValue);@throws;;;if the tagName conflicts with the configuration;true
org.apache.hadoop.metrics.MetricsRecord;void setTag(String tagName, String tagValue);void setTag(String tagName, short tagValue);@param;String tagName;String tagName;name of the tag;true
org.apache.hadoop.metrics.MetricsRecord;void setTag(String tagName, String tagValue);void setTag(String tagName, short tagValue);@param;String tagValue;short tagValue;new value of the tag;true
org.apache.hadoop.metrics.MetricsRecord;void setTag(String tagName, String tagValue);void setTag(String tagName, short tagValue);@throws;;;if the tagName conflicts with the configuration;true
org.apache.hadoop.metrics.MetricsRecord;void setTag(String tagName, String tagValue);void setTag(String tagName, byte tagValue);@param;String tagName;String tagName;name of the tag;true
org.apache.hadoop.metrics.MetricsRecord;void setTag(String tagName, String tagValue);void setTag(String tagName, byte tagValue);@param;String tagValue;byte tagValue;new value of the tag;true
org.apache.hadoop.metrics.MetricsRecord;void setTag(String tagName, String tagValue);void setTag(String tagName, byte tagValue);@throws;;;if the tagName conflicts with the configuration;true
org.apache.hadoop.metrics.MetricsRecord;void setTag(String tagName, int tagValue);void setTag(String tagName, long tagValue);Whole;;;Sets the named tag to the specified value.  @param name of the tag@param new value of the tag  @throws if the tagName conflicts with the configuration;false
org.apache.hadoop.metrics.MetricsRecord;void setTag(String tagName, int tagValue);void setTag(String tagName, short tagValue);Whole;;;Sets the named tag to the specified value.  @param name of the tag@param new value of the tag  @throws if the tagName conflicts with the configuration;false
org.apache.hadoop.metrics.MetricsRecord;void setTag(String tagName, int tagValue);void setTag(String tagName, byte tagValue);Whole;;;Sets the named tag to the specified value.  @param name of the tag@param new value of the tag  @throws if the tagName conflicts with the configuration;false
org.apache.hadoop.metrics.MetricsRecord;void setTag(String tagName, long tagValue);void setTag(String tagName, short tagValue);Whole;;;Sets the named tag to the specified value.  @param name of the tag@param new value of the tag  @throws if the tagName conflicts with the configuration;false
org.apache.hadoop.metrics.MetricsRecord;void setTag(String tagName, long tagValue);void setTag(String tagName, byte tagValue);Whole;;;Sets the named tag to the specified value.  @param name of the tag@param new value of the tag  @throws if the tagName conflicts with the configuration;false
