Class;Method1;Method2;Type;Param1;Param2;Cloned text;Legit?
org.apache.lucene.codecs.TermVectorsFormat;TermVectorsReader vectorsReader(Directory directory, SegmentInfo segmentInfo, FieldInfos fieldInfos, IOContext context);TermVectorsWriter vectorsWriter(Directory directory, SegmentInfo segmentInfo, IOContext context);Whole;;; vectors.    ;false
org.apache.lucene.codecs.StoredFieldsFormat;StoredFieldsReader fieldsReader(Directory directory, SegmentInfo si, FieldInfos fn, IOContext context);StoredFieldsWriter fieldsWriter(Directory directory, SegmentInfo si, IOContext context);Whole;;; fields.    ;false
org.apache.lucene.codecs.SegmentInfoFormat;SegmentInfo read(Directory directory, String segmentName, byte[] segmentID, IOContext context);void write(Directory dir, SegmentInfo info, IOContext ioContext);@throws;;;If an I/O error occurs;true
org.apache.lucene.codecs.LegacyDocValuesIterables;Iterable valuesIterable(SortedDocValues values);Iterable sortedOrdIterable(DocValuesProducer valuesProducer, FieldInfo fieldInfo, int maxDoc);Whole;;;@deprecated Consume {@link SortedDocValues} instead.    ;false
org.apache.lucene.codecs.LegacyDocValuesIterables;Iterable valuesIterable(SortedDocValues values);Iterable sortedNumericToDocCount(DocValuesProducer valuesProducer, FieldInfo fieldInfo, int maxDoc);Whole;;;@deprecated Consume {@link SortedDocValues} instead.    ;false
org.apache.lucene.codecs.LegacyDocValuesIterables;Iterable valuesIterable(SortedDocValues values);Iterable sortedNumericToValues(DocValuesProducer valuesProducer, FieldInfo fieldInfo);Whole;;;@deprecated Consume {@link SortedDocValues} instead.    ;false
org.apache.lucene.codecs.LegacyDocValuesIterables;Iterable valuesIterable(SortedSetDocValues values);Iterable sortedSetOrdCountIterable(DocValuesProducer valuesProducer, FieldInfo fieldInfo, int maxDoc);Whole;;;@deprecated Consume {@link SortedSetDocValues} instead.    ;false
org.apache.lucene.codecs.LegacyDocValuesIterables;Iterable valuesIterable(SortedSetDocValues values);Iterable sortedSetOrdsIterable(DocValuesProducer valuesProducer, FieldInfo fieldInfo);Whole;;;@deprecated Consume {@link SortedSetDocValues} instead.    ;false
org.apache.lucene.codecs.LegacyDocValuesIterables;Iterable sortedOrdIterable(DocValuesProducer valuesProducer, FieldInfo fieldInfo, int maxDoc);Iterable sortedNumericToDocCount(DocValuesProducer valuesProducer, FieldInfo fieldInfo, int maxDoc);Whole;;;@deprecated Consume {@link SortedDocValues} instead.    ;false
org.apache.lucene.codecs.LegacyDocValuesIterables;Iterable sortedOrdIterable(DocValuesProducer valuesProducer, FieldInfo fieldInfo, int maxDoc);Iterable sortedNumericToValues(DocValuesProducer valuesProducer, FieldInfo fieldInfo);Whole;;;@deprecated Consume {@link SortedDocValues} instead.    ;false
org.apache.lucene.codecs.LegacyDocValuesIterables;Iterable sortedSetOrdCountIterable(DocValuesProducer valuesProducer, FieldInfo fieldInfo, int maxDoc);Iterable sortedSetOrdsIterable(DocValuesProducer valuesProducer, FieldInfo fieldInfo);Whole;;;@deprecated Consume {@link SortedSetDocValues} instead.    ;false
org.apache.lucene.codecs.LegacyDocValuesIterables;Iterable sortedNumericToDocCount(DocValuesProducer valuesProducer, FieldInfo fieldInfo, int maxDoc);Iterable sortedNumericToValues(DocValuesProducer valuesProducer, FieldInfo fieldInfo);Whole;;;@deprecated Consume {@link SortedDocValues} instead.    ;false
org.apache.lucene.codecs.LegacyDocValuesIterables;Iterable normsIterable(FieldInfo field, NormsProducer normsProducer, int maxDoc);Iterable numericIterable(FieldInfo field, DocValuesProducer valuesProducer, int maxDoc);Whole;;;@deprecated Consume {@link NumericDocValues} instead.    ;false
org.apache.lucene.codecs.DocValuesConsumer;void addNumericField(FieldInfo field, DocValuesProducer valuesProducer);void addBinaryField(FieldInfo field, DocValuesProducer valuesProducer);@param;FieldInfo field;FieldInfo field;field information;true
