Class;Method1;Method2;Type;Param1;Param2;Cloned text;Legit?
org.apache.solr.common.util.ByteUtils;int UTF16toUTF8(CharSequence s, int offset, int len, byte[] result, int resultOffset);int writeUTF16toUTF8(CharSequence s, int offset, int len, OutputStream fos, byte[] scratch);@return;;;the number of bytes written;false
org.apache.solr.common.util.ByteUtils;int UTF16toUTF8(CharSequence s, int offset, int len, byte[] result, int resultOffset);int calcUTF16toUTF8Length(CharSequence s, int offset, int len);@return;;;the number of bytes written;false
org.apache.solr.common.util.ByteUtils;int writeUTF16toUTF8(CharSequence s, int offset, int len, OutputStream fos, byte[] scratch);int calcUTF16toUTF8Length(CharSequence s, int offset, int len);@return;;;the number of bytes written;false
org.apache.solr.common.util.CommandOperation;List parse(Reader rdr, Set singletonCommands);List readCommands(Iterable streams, NamedList resp, Set singletonCommands);@return;;;parsed list of commands;false
org.apache.solr.common.util.JavaBinCodec;void writeVInt(int i, FastOutputStream out);int readVInt(DataInputInputStream in);@throws;;;If there is a low-level I/O error.;true
org.apache.solr.common.util.JsonRecordReader;List getAllRecords(Reader r);void streamRecords(Reader r, Handler handler);@param;Reader r;Reader r;the stream reader;true
org.apache.solr.common.util.NamedList; NamedList(Map.Entry nameValuePairs); NamedList(Map nameValueMap);@param;Map.Entry<String,? extends T>[] nameValuePairs;Map<String,? extends T> nameValueMap;the name value pairs;true
org.apache.solr.common.util.NamedList;T get(String name);T get(String name, int start);@return;;;null if not found or if the value stored was null.;true
org.apache.solr.common.util.NamedList;List getAll(String name);List removeAll(String name);@return;;;List of values;false
org.apache.solr.common.util.NamedList;List getAll(String name);List removeAll(String name);@param;String name;String name;Name;true
org.apache.solr.common.util.NamedList;Boolean removeBooleanArg(String name);Boolean getBooleanArg(String name);@return;;;The boolean value found.;false
org.apache.solr.common.util.NamedList;Boolean removeBooleanArg(String name);Boolean getBooleanArg(String name);@param;String name;String name;The key to look up in the NamedList.;true
org.apache.solr.common.util.NamedList;Boolean removeBooleanArg(String name);Boolean getBooleanArg(String name);@throws;;;If multiple values are found for the name or the value found is not a Boolean or a String.;true
org.apache.solr.common.util.NamedList;Boolean removeBooleanArg(String name);Collection removeConfigArgs(String name);@param;String name;String name;The key to look up in the NamedList.;true
org.apache.solr.common.util.NamedList;Boolean getBooleanArg(String name);Collection removeConfigArgs(String name);@param;String name;String name;The key to look up in the NamedList.;true
