Class;Method1;Method2;Type;Param1;Param2;Cloned text;Legit?
org.springframework.asm.Label;void put(MethodWriter owner, ByteVector out, int source, boolean wideOffset);boolean resolve(MethodWriter owner, int position, byte[] data);@param;MethodWriter owner;MethodWriter owner;the code writer that calls this method.;true
org.springframework.asm.Label;void put(MethodWriter owner, ByteVector out, int source, boolean wideOffset);boolean resolve(MethodWriter owner, int position, byte[] data);@param;ByteVector out;byte[] data;the bytecode of the method.;false
org.springframework.asm.Label;boolean inSubroutine(long id);void addToSubroutine(long id, int nbSubroutines);@param;long id;long id;a subroutine id.;true
org.springframework.asm.Label;void addToSubroutine(long id, int nbSubroutines);void visitSubroutine(Label JSR, long id, int nbSubroutines);@param;int nbSubroutines;int nbSubroutines;the total number of subroutines in the method.;true
org.springframework.asm.Type;Type getMethodType(String methodDescriptor);Type[] getArgumentTypes(String methodDescriptor);@param;String methodDescriptor;String methodDescriptor;a method descriptor.;true
org.springframework.asm.Type;Type getMethodType(String methodDescriptor);Type getReturnType(String methodDescriptor);@param;String methodDescriptor;String methodDescriptor;a method descriptor.;true
org.springframework.asm.Type;Type getMethodType(Type returnType, Type argumentTypes);String getMethodDescriptor(Type returnType, Type argumentTypes);@param;Type returnType;Type returnType;the return type of the method.;true
org.springframework.asm.Type;Type getMethodType(Type returnType, Type argumentTypes);String getMethodDescriptor(Type returnType, Type argumentTypes);@param;Type argumentTypes;Type argumentTypes;the argument types of the method.;true
org.springframework.asm.Type;Type getType(Constructor c);String getConstructorDescriptor(Constructor c);@param;Constructor<?> c;Constructor<?> c;a Constructor Constructor object.;true
org.springframework.asm.Type;Type getType(Method m);String getMethodDescriptor(Method m);@param;Method m;Method m;a Method Method object.;true
org.springframework.asm.Type;Type[] getArgumentTypes(String methodDescriptor);Type getReturnType(String methodDescriptor);@param;String methodDescriptor;String methodDescriptor;a method descriptor.;true
org.springframework.asm.Type;Type[] getArgumentTypes(Method method);Type getReturnType(Method method);@param;Method method;Method method;a method.;true
org.springframework.asm.MethodVisitor; MethodVisitor(int api); MethodVisitor(int api, MethodVisitor mv);Free text;;;Constructs a new {@link MethodVisitor}. ;true
org.springframework.asm.MethodVisitor; MethodVisitor(int api); MethodVisitor(int api, MethodVisitor mv);@param;int api;int api;the ASM API version implemented by this visitor. Must be one of Opcodes#ASM4, Opcodes#ASM5 or Opcodes#ASM6.;true
org.springframework.asm.MethodVisitor;AnnotationVisitor visitAnnotation(String desc, boolean visible);AnnotationVisitor visitTypeAnnotation(int typeRef, TypePath typePath, String desc, boolean visible);@return;;;a visitor to visit the annotation values, or null if this visitor is not interested in visiting this annotation.;false
org.springframework.asm.MethodVisitor;AnnotationVisitor visitAnnotation(String desc, boolean visible);AnnotationVisitor visitTypeAnnotation(int typeRef, TypePath typePath, String desc, boolean visible);@param;String desc;String desc;the class descriptor of the annotation class.;true
org.springframework.asm.MethodVisitor;AnnotationVisitor visitAnnotation(String desc, boolean visible);AnnotationVisitor visitTypeAnnotation(int typeRef, TypePath typePath, String desc, boolean visible);@param;boolean visible;boolean visible;true if the annotation is visible at runtime.;true
org.springframework.asm.MethodVisitor;AnnotationVisitor visitAnnotation(String desc, boolean visible);AnnotationVisitor visitParameterAnnotation(int parameter, String desc, boolean visible);@return;;;a visitor to visit the annotation values, or null if this visitor is not interested in visiting this annotation.;false
org.springframework.asm.MethodVisitor;AnnotationVisitor visitAnnotation(String desc, boolean visible);AnnotationVisitor visitParameterAnnotation(int parameter, String desc, boolean visible);@param;String desc;String desc;the class descriptor of the annotation class.;true
org.springframework.asm.MethodVisitor;AnnotationVisitor visitAnnotation(String desc, boolean visible);AnnotationVisitor visitParameterAnnotation(int parameter, String desc, boolean visible);@param;boolean visible;boolean visible;true if the annotation is visible at runtime.;true
org.springframework.asm.MethodVisitor;AnnotationVisitor visitAnnotation(String desc, boolean visible);AnnotationVisitor visitInsnAnnotation(int typeRef, TypePath typePath, String desc, boolean visible);@return;;;a visitor to visit the annotation values, or null if this visitor is not interested in visiting this annotation.;false
org.springframework.asm.MethodVisitor;AnnotationVisitor visitAnnotation(String desc, boolean visible);AnnotationVisitor visitInsnAnnotation(int typeRef, TypePath typePath, String desc, boolean visible);@param;String desc;String desc;the class descriptor of the annotation class.;true
org.springframework.asm.MethodVisitor;AnnotationVisitor visitAnnotation(String desc, boolean visible);AnnotationVisitor visitInsnAnnotation(int typeRef, TypePath typePath, String desc, boolean visible);@param;boolean visible;boolean visible;true if the annotation is visible at runtime.;true
org.springframework.asm.MethodVisitor;AnnotationVisitor visitAnnotation(String desc, boolean visible);AnnotationVisitor visitTryCatchAnnotation(int typeRef, TypePath typePath, String desc, boolean visible);@return;;;a visitor to visit the annotation values, or null if this visitor is not interested in visiting this annotation.;false
org.springframework.asm.MethodVisitor;AnnotationVisitor visitAnnotation(String desc, boolean visible);AnnotationVisitor visitTryCatchAnnotation(int typeRef, TypePath typePath, String desc, boolean visible);@param;String desc;String desc;the class descriptor of the annotation class.;true
org.springframework.asm.MethodVisitor;AnnotationVisitor visitAnnotation(String desc, boolean visible);AnnotationVisitor visitTryCatchAnnotation(int typeRef, TypePath typePath, String desc, boolean visible);@param;boolean visible;boolean visible;true if the annotation is visible at runtime.;true
org.springframework.asm.MethodVisitor;AnnotationVisitor visitAnnotation(String desc, boolean visible);AnnotationVisitor visitLocalVariableAnnotation(int typeRef, TypePath typePath, Label[] start, Label[] end, int[] index, String desc, boolean visible);@return;;;a visitor to visit the annotation values, or null if this visitor is not interested in visiting this annotation.;false
org.springframework.asm.MethodVisitor;AnnotationVisitor visitAnnotation(String desc, boolean visible);AnnotationVisitor visitLocalVariableAnnotation(int typeRef, TypePath typePath, Label[] start, Label[] end, int[] index, String desc, boolean visible);@param;String desc;String desc;the class descriptor of the annotation class.;true
org.springframework.asm.MethodVisitor;AnnotationVisitor visitAnnotation(String desc, boolean visible);AnnotationVisitor visitLocalVariableAnnotation(int typeRef, TypePath typePath, Label[] start, Label[] end, int[] index, String desc, boolean visible);@param;boolean visible;boolean visible;true if the annotation is visible at runtime.;true
org.springframework.asm.MethodVisitor;AnnotationVisitor visitTypeAnnotation(int typeRef, TypePath typePath, String desc, boolean visible);AnnotationVisitor visitParameterAnnotation(int parameter, String desc, boolean visible);@return;;;a visitor to visit the annotation values, or null if this visitor is not interested in visiting this annotation.;false
org.springframework.asm.MethodVisitor;AnnotationVisitor visitTypeAnnotation(int typeRef, TypePath typePath, String desc, boolean visible);AnnotationVisitor visitParameterAnnotation(int parameter, String desc, boolean visible);@param;String desc;String desc;the class descriptor of the annotation class.;true
