char,float, 0.75,4,set some char value,get some float value,set some char value,set some float value,get some char value,get some float value,get some char value,set some float value
hash,previous, 0.5,3,hash index,previous index,hash entry,previous entry,hash entry,previous entry
proxy,linked, 0.666666666666667,2,proxy map,linked map,proxy list iterator,linked list iterator
bidi,delegate, 0.666666666666667,1,create bidi map,create delegate map
first,previous, 0.666666666666667,2,test first key,test previous key,first key,previous key
bag,collection, 0.666666666666667,28,bag utils,collection utils,test bag utils,test collection utils,typed bag,typed collection,test typed bag,test typed collection,typed bag,typed collection,test typed bag,test typed collection,test predicated bag,test predicated collection,test predicated bag,test predicated collection,test predicated bag,test predicated collection,test predicated bag,test predicated collection,predicated bag,predicated collection,make test bag,make test collection,make bag,make collection,test bag add,test collection add,decorate bag,decorate collection,test synchronized bag,test synchronized collection,synchronized bag,synchronized collection,test synchronized bag,test synchronized collection,transformed bag,transformed collection,test transformed bag,test transformed collection,test transformed bag,test transformed collection,test transformed bag,test transformed collection,test transformed bag,test transformed collection,test unmodifiable bag,test unmodifiable collection,unmodifiable bag,unmodifiable collection,test unmodifiable bag,test unmodifiable collection,abstract bag decorator,abstract collection decorator,abstract test bag,abstract test collection
check,identity, 0.5,1,check map,identity map
object,integer, 0.75,4,set some object value,get some integer value,set some object value,set some integer value,get some object value,get some integer value,get some object value,set some integer value
abstract dual,unmodifiable ordered, 0.5,1,abstract dual bidi map,unmodifiable ordered bidi map
switch,exception, 0.666666666666667,6,switch closure,exception closure,switch closure,exception closure,test switch closure,test exception closure,switch transformer,exception transformer,test switch transformer,test exception transformer,switch transformer,exception transformer
notifying,singleton, 0.5,2,notifying iterator,singleton iterator,singleton iterator,notifying iterator
typed,full, 0.5,3,bulk test typed map,test full map serialization,bulk test typed map,test full map iterator,bulk test typed map,test full map compatibility
nodes,interval, 0.5,1,check nodes,check interval
constant,executor, 0.666666666666667,1,test constant transformer,test executor transformer
tree,composited, 0.5,1,add tree,add composited
mid,first, 0.8,1,test cursor next index mid,test cursor next index first
entry,serialization, 0.5,5,abstract test map entry,test full map serialization,test tied map entry,test full map serialization,test to map entry,test full map serialization,test unmodifiable map entry,test full map serialization,test default map entry,test full map serialization
link,bind, 0.666666666666667,1,test linked map,test bounded map
null,entry, 0.5,1,next null,next entry
chained,transformer, 0.666666666666667,2,test chained closure,test transformer closure,chained closure,transformer closure
one,neither, 0.75,2,test one predicate ex,test neither predicate ex,test one predicate,test neither predicate
keys,remove, 0.5,1,get multi key keys,test multi key remove
predicate,synchronize, 0.75,22,predicated collection,synchronized collection,test predicated collection,test synchronized collection,test predicated collection,test synchronized collection,test predicated collection,test synchronized collection,test predicated collection,test synchronized collection,test predicated buffer,test synchronized buffer,predicated buffer,synchronized buffer,test predicated sorted bag,test synchronized sorted bag,test predicated sorted bag,test synchronized sorted set,test predicated sorted map,test synchronized sorted bag,test predicated sorted bag,test synchronized sorted bag,test predicated sorted set,test synchronized sorted bag,test predicated sorted map,test synchronized sorted set,test predicated sorted bag,test synchronized sorted set,test predicated sorted set,test synchronized sorted set,predicated sorted bag,synchronized sorted bag,predicated sorted set,synchronized sorted set,predicated list,synchronized list,test predicated list,test synchronized list,predicated bag,synchronized bag,test predicated bag,test synchronized bag,test predicated bag,test synchronized bag
insert,contains, 0.5,1,insert value,contains value
code,map, 0.5,7,test set hash code,test multi hash map,test set hash code,test sequenced hash map,test fast hash map,test set hash code,test list hash code,test multi hash map,test list hash code,test sequenced hash map,test fast hash map,test list hash code,hash map,hash code
empty list,unmodifiable map, 0.5,1,test empty list iterator,test unmodifiable map iterator
map,predicate, 0.666666666666667,9,test map utils,test predicate utils,map utils,predicate utils,identity map,identity predicate,test identity map,test identity predicate,test transformed map,test transformed predicate,transformed map,transformed predicate,test transformed map,test transformed predicate,test map transformer,test predicate transformer,map transformer,predicate transformer
empty ordered,singleton list, 0.5,1,test empty ordered iterator,test singleton list iterator
verify,transform, 0.5,1,verify map,transform map
proxy,dummy, 0.5,1,proxy map,dummy map
fast hash,unmodifiable sorted, 0.5,1,test fast hash map,test unmodifiable sorted map
write,read, 0.666666666666667,7,write external form to stream,read external form from stream,write external form to disk,read external form from disk,purge before read,purge before write,do read object,do write object,read object,write object,get read method,get write method,read external,write external
buffer,writer, 0.5,1,string buffer,string writer
empty list,object array, 0.5,1,test empty list iterator,test object array iterator
from underlying,lrublocks remove, 0.5,1,test remove from underlying,test remove lrublocks remove
sorted,serializable, 0.75,1,abstract sorted set decorator,abstract serializable set decorator
lazy map,string value, 0.5,1,test lazy map transformer,test string value transformer
tree,defaulted, 0.666666666666667,2,test tree map,test defaulted map,tree map,defaulted map
sorted map,list iterator, 0.5,4,fixed size sorted map,fixed size list iterator,test unmodifiable sorted map,test unmodifiable list iterator,abstract sorted map decorator,abstract list iterator decorator,abstract test sorted map,abstract test list iterator
transform,unmodifiable, 0.5,2,transform map,unmodifiable map,transform iterator,unmodifiable iterator
synchronized,testpredicated, 0.5,2,synchronized buffer,testpredicated buffer,synchronized list,testpredicated list
link,array, 0.5,1,link iterator,array iterator
iter,utils, 0.5,1,list iter,list utils
fast tree,fixed size, 0.5,1,test fast tree map,test fixed size map
even,modify, 0.666666666666667,1,test iterate even,test iterate modify
contains,transform, 0.5,2,contains value,transform value,contains key,transform key
to,tree, 0.666666666666667,2,test to list,test tree list,to list,tree list
remove,mutator, 0.666666666666667,1,test add remove,test add mutator
list,equals, 0.5,1,test list hash code,test equals hash bag
internal state,iterator constructor, 0.5,1,test internal state remove,test iterator constructor remove
self,node, 0.5,1,remove self,remove node
remove,iteration, 0.5,3,test collection iterator remove,test unmodifiable iterator iteration,test singleton iterator remove,test unmodifiable iterator iteration,test list iterator remove,test unmodifiable iterator iteration
bean,verify, 0.5,1,bean map,verify map
full,collection, 0.666666666666667,1,test full iterator,test collection iterator
put,iterator, 0.666666666666667,1,test map put,test map iterator
create,predicated, 0.5,2,create map,predicated map,create collection,predicated collection
add indexed,iterator wrapper, 0.5,1,test list add indexed,test list iterator wrapper
to,setup, 0.5,1,to list,setup list
double ordered,transformed sorted, 0.5,1,test double ordered map,test transformed sorted map
tie,order, 0.5,2,test tied map entry,abstract test ordered map,test tied map entry,test ordered map iterator
add,empty, 0.5,2,add iterator,empty iterator,add iterator,empty iterator
hashed,composite, 0.666666666666667,2,hashed map,composite map,test hashed map,test composite map
view,array, 0.5,1,view iterator,array iterator
sorted bag,map iterator, 0.5,3,test unmodifiable sorted bag,test unmodifiable map iterator,abstract sorted bag decorator,abstract map iterator decorator,abstract test sorted bag,abstract test map iterator
keyed,unmodifiable, 0.666666666666667,2,test keyed iterator,test unmodifiable iterator,test keyed iterator,test unmodifiable iterator
bag,link, 0.5,1,bag iterator,link iterator
impl,node, 0.5,1,remove impl,remove node
leaf,view, 0.5,1,leaf iterator,view iterator
bounded,composite, 0.666666666666667,1,test bounded map,test composite map
add remove,list iterator, 0.5,1,test list add remove,test list list iterator
leaf,ordered, 0.5,1,leaf iterator,ordered iterator
find,entry, 0.5,1,find next,entry next
unique filter,unmodifiable map, 0.5,1,test unique filter iterator,test unmodifiable map iterator
null,index, 0.5,1,next null,next index
string,integer, 0.75,4,set some string value,get some integer value,set some string value,set some integer value,get some string value,get some integer value,get some string value,set some integer value
string,transformed, 0.5,2,string predicate,transformed predicate,string buffer,transformed buffer
order,loop, 0.5,1,ordered iterator,looping iterator
empty map,array list, 0.5,3,make empty map iterator,make array list iterator,test empty map iterator,test array list iterator,test empty map iterator,test array list iterator
one,false, 0.666666666666667,2,one predicate,false predicate,test one predicate,test false predicate
add replacing,iterator remove, 0.5,1,test list add replacing,test list iterator remove
