Term 1	Term 2	Total Frequency	# of Projects Appearing In	In WordNet?
init	initialize	3101	1201	false
create	initialize	2398	161	false
remove	clear	1608	640	true
init	create	1086	278	false
new	create	733	227	false
reset	clear	567	366	false
op	evaluate	508	1	false
clone	create	484	186	false
add	create	401	184	false
create	make	357	166	true
build	create	266	158	true
init	initialise	266	145	false
create	generate	259	167	true
fire	notify	250	98	false
close	flush	236	212	false
show	display	194	123	true
close	release	181	116	false
pop	remove	176	129	false
start	begin	174	141	true
update	refresh	172	115	false
require	assert	162	2	false
name	produce	162	160	false
delete	remove	162	119	true
clear	empty	155	116	true
close	stop	141	116	true
dispatch	notify	132	37	false
copy	create	128	86	true
start	create	127	109	true
clear	delete	125	102	false
parse	read	114	52	false
load	create	111	86	false
create	construct	108	70	true
reset	remove	107	84	false
init	add	102	77	false
append	instruct	100	5	false
init	load	99	79	false
dispose	remove	97	53	true
initialize	load	95	64	false
create	install	95	59	false
start	initialize	94	86	false
prepare	create	94	66	true
read	load	92	77	false
issue	parse	86	8	false
clone	make	86	56	false
dispose	release	86	56	false
initialize	complete	86	83	false
flush	write	85	61	false
close	end	84	66	true
remove	throw	80	63	true
add	append	80	29	true
build	construct	80	54	true
init	take	79	41	false
find	search	78	67	false
open	create	77	50	false
init	save	76	4	false
wait	block	75	53	false
unlock	release	75	39	false
read	resolve	75	31	false
new	construct	74	43	false
save	write	73	58	true
read	delegate	72	9	false
dump	print	72	58	false
update	reset	70	39	false
init	read	70	59	false
show	create	70	40	false
clean	remove	69	58	true
create	instantiate	68	45	false
start	receive	68	21	false
suite	create	67	24	false
close	write	67	56	false
poll	retrieve	66	32	false
poll	remove	65	34	false
create	provide	65	55	false
end	receive	65	20	false
handle	open	64	28	false
write	create	64	21	true
calculate	update	64	51	false
peek	retrieve	64	37	false
ensure	make	63	56	true
stop	terminate	63	38	true
start	indicate	62	31	false
define	create	61	27	false
notify	send	61	34	false
handle	show	61	24	false
rr	convert	60	6	false
create	allow	59	43	false
close	free	59	36	false
clean	clear	58	49	false
find	obtain	58	25	true
execute	create	57	41	false
stop	tell	57	53	false
init	register	56	43	false
update	handle	56	40	false
fire	send	56	21	false
hash	compute	55	7	false
tear	clean	55	39	false
generate	build	55	43	false
num	low-level	54	1	false
purge	remove	54	42	false
create	update	53	37	false
flush	force	53	40	false
num	number	53	22	false
create	compute	52	28	false
read	ensure	52	35	false
read	invoke	51	15	false
add	register	51	46	false
stop	cancel	51	44	false
update	reload	50	39	false
dispose	close	50	44	false
reset	reposition	49	35	false
show	make	49	34	false
finalize	close	49	45	false
describe	make	48	7	false
disconnect	close	48	45	false
finalize	ensure	48	36	false
open	show	48	25	false
read	initialize	47	35	false
copy	make	47	35	true
stop	shut	47	40	false
save	create	46	22	false
rehash	increase	46	37	false
end	finish	45	36	true
close	clean	45	35	false
persist	save	44	32	false
handle	choose	44	35	false
read	decode	44	15	false
scan	read	43	8	true
reset	change	43	15	false
dispose	clean	43	27	false
end	report	43	13	false
store	save	42	38	false
call	execute	41	17	false
fire	inform	41	16	false
execute	start	41	36	false
close	shut	41	36	true
stop	remove	41	29	false
connect	establish	41	33	false
connect	open	41	31	false
peek	look	40	36	true
update	make	40	33	false
start	prepare	40	31	false
read	deserialize	39	25	false
end	write	39	29	false
await	wait	39	27	true
make	generate	39	32	true
restart	reset	38	32	false
load	generate	38	18	false
fill	create	38	21	false
validate	ensure	38	29	false
reverse	play	38	38	false
change	dispatch	38	38	false
flag	limit	38	38	false
cancel	note	38	38	false
end	note	38	38	false
new	generate	38	25	false
initialize	initialise	38	22	true
create	configure	38	28	false
write	store	38	30	false
close	mark	38	29	false
request	prevent	37	37	false
end	mark	37	22	false
initialize	add	37	33	false
kill	stop	37	34	false
stop	end	37	36	true
start	allow	36	18	false
compute	calculate	36	21	true
update	enable	36	30	false
start	write	36	28	false
update	recalculate	36	29	false
read	replace	35	30	false
select	open	35	18	false
